Age,Global_d18O,std,# meas,# cores,stderr
0,3.23,0.108,130,100,0.009
0.5,3.25,0.154,84,51,0.017
1,3.31,0.117,123,73,0.011
1.5,3.32,0.137,144,75,0.011
2,3.31,0.127,161,78,0.01
2.5,3.22,0.148,179,91,0.011
3,3.31,0.122,191,100,0.009
3.5,3.31,0.185,192,98,0.013
4,3.26,0.134,177,98,0.01
4.5,3.27,0.13,218,117,0.009
5,3.26,0.135,202,109,0.01
5.5,3.27,0.162,212,112,0.011
6,3.33,0.134,203,110,0.009
6.5,3.32,0.155,198,109,0.011
7,3.32,0.178,204,126,0.012
7.5,3.29,0.108,202,117,0.008
8,3.36,0.127,228,117,0.008
8.5,3.43,0.134,231,122,0.009
9,3.42,0.138,284,140,0.008
9.5,3.52,0.183,264,135,0.011
10,3.59,0.188,277,136,0.011
10.5,3.61,0.191,261,135,0.012
11,3.66,0.238,271,131,0.014
11.5,3.74,0.253,319,144,0.014
12,3.83,0.175,333,144,0.01
12.5,3.97,0.158,358,148,0.008
13,4.12,0.199,392,153,0.01
13.5,4.15,0.174,399,148,0.009
14,4.19,0.169,382,149,0.009
14.5,4.25,0.18,327,129,0.01
15,4.4,0.169,320,139,0.009
15.5,4.48,0.166,309,148,0.009
16,4.55,0.158,336,156,0.009
16.5,4.66,0.167,346,160,0.009
17,4.76,0.14,366,151,0.007
17.5,4.83,0.122,369,155,0.006
18,4.89,0.122,401,166,0.006
18.5,4.91,0.141,447,164,0.007
19,4.93,0.131,406,166,0.007
19.5,4.92,0.136,366,156,0.007
20,4.84,0.148,385,161,0.008
20.5,4.89,0.139,334,139,0.008
21,4.9,0.133,333,138,0.007
21.5,4.83,0.141,317,142,0.008
22,4.86,0.128,320,142,0.007
22.5,4.81,0.12,324,149,0.007
23,4.81,0.113,324,136,0.006
23.5,4.78,0.121,301,143,0.007
24,4.75,0.129,276,137,0.008
24.5,4.75,0.14,252,126,0.009
25,4.75,0.118,234,124,0.008
25.5,4.73,0.151,248,124,0.01
26,4.75,0.146,237,117,0.01
26.5,4.67,0.14,237,116,0.009
